numero;ville_etab
723;Saint-Pierre-du-Mont
724;Rive-de-Gier
725;Vals-près-le-Puy
726;Châteaubriant
727;Derval
728;Orvault
729;Gien
730;Villemandeur
731;Saint-Jean-de-Braye
732;Nérac
733;Verrières-en-Anjou
734;Chemillé-en-Anjou
735;Coutances
736;Saint-Lô
737;Vitry-le-François
738;Somme-Vesle
739;Avize
740;Langres
741;Saint-Dizier
742;Evron
743;Lunéville
744;Tomblaine
745;Art-sur-Meurthe
746;Auray
747;Questembert
748;Arradon
749;Fameck
750;Sarrebourg
751;Rombas
752;Talange
753;Saint-Amand-les-Eaux
754;Chantilly
755;Mortagne-au-Perche
756;Bruay-la-Buissière
757;Tilloy-lès-Mofflaines
758;Le Touquet-Paris-Plage
759;Coulogne
760;Le Breuil-sur-Couze
761;Rochefort-Montagne
762;Pont-du-Château
763;Orthez
764;Montardon
765;Obernai
766;Erstein
767;Wintzenheim
768;Guebwiller
769;Décines-Charpieu
770;Dardilly
771;Fontaines
772;La Ferté-Bernard
773;Ugine
774;Bonneville
775;Saint-Julien-en-Genevois
776;La Roche-sur-Foron
777;Lillebonne
778;Sainte-Adresse
779;Nemours
780;Provins
781;Combs-la-Ville
782;Moissy-Cramayel
783;Champs-sur-Marne
784;Plaisir
785;Trappes
786;Conflans-Sainte-Honorine
787;Le Chesnay-Rocquencourt
788;Melle
789;Brignoles
790;Saint-Raphaël
791;Hyères
792;Fréjus
793;Draguignan
794;Carpentras
795;Luçon
796;Sainte-Gemme-la-Plaine
797;Montmorillon
798;Valdoie
799;Brunoy
800;Sainte-Geneviève-des-Bois
801;Les Ulis
802;Arpajon
803;Vaucresson
804;Noisy-le-Sec
805;Villemomble
806;Tremblay-en-France
807;Noisy-le-Grand
808;Champigny-sur-Marne
809;Maisons-Alfort
810;Nogent-sur-Marne
811;Le Perreux-sur-Marne
812;Thiais
813;Alfortville
814;Choisy-le-Roi
815;Chennevières-sur-Marne
816;Goussainville
817;Franconville
818;Fosses
819;Taverny
820;Garges-lès-Gonesse
821;Sartène
822;Capesterre-Belle-Eau
823;Morne-à-l'Eau
824;Petit-Bourg
825;Le Gosier
826;Port-Louis
827;La Trinité
828;Rivière-Salée
829;Remire-Montjoly
830;Saint-Joseph
831;Moorea
832;Quetigny
833;Pézenas
834;Hennebont
835;Cerny
836;Issy-les-Moulineaux
837;Varzy
838;Taiarapu-ouest
839;Ploemeur
840;Roville-aux-Chênes
841;Saint-Cloud
842;Rostrenen
843;Mugron
844;Noeux-les-Mines
845;Pointe-Noire
846;Péronne
847;Saint-Girons
848;Giel-Courteilles
849;Saint-Affrique
850;Le Robert
851;Chevilly-Larue
852;Fleury-les-Aubrais
853;Bruz
854;Pithiviers
855;Mtsamboro
856;Saint-Méen-le-Grand
857;Mont-de-Marsan
858;Charolles
859;Dieuze
860;Lavelanet
861;Haubourdin
862;Nyons
863;Vaujours
864;Lyon 4e  Arrondissement
865;Essey-lès-Nancy
866;Bellerive-sur-Allier
867;Ollioules
868;Clermont
869;Epagny Metz-Tessy
870;Mons-en-Baroeul
871;Val de Briey
872;Epernay
873;Montbrison
874;Javené
875;Le Portel
876;Vouneuil-sous-Biard
877;Buc
878;Blanquefort
879;Quintin
880;Chirongui
881;Souilhanels
882;Olivet
883;Le Ban-Saint-Martin
884;Etaples
885;Avion
886;Marseille 16e  Arrondissement
887;Vauréal
888;Guipavas
889;Lingolsheim
890;Saint-Jean-de-Monts
891;Serris
892;Palaiseau
893;Paris  1er Arrondissement
894;Lure
895;Bavilliers
896;Istres
897;Rosières-près-Troyes
898;Pamandzi
899;Jacou
900;Montmorency
901;Font-Romeu-Odeillo-Via
902;RABAT-SALE
903;Thônes
904;Foulayronnes
905;Buxières-lès-Villiers
906;Draveil
907;Aubagne
908;Estaires
909;Monteils
910;Le Vigan
911;Abbeville
912;Moulins
913;Sainte-Livrade-sur-Lot
914;Château-Renault
915;L'Arbresle
916;Lesparre-Médoc
917;Trévoux
918;Digne-les-Bains
919;Manosque
920;Le Teil
921;Saint-Pouange
922;Rignac
923;Saint-Sernin-sur-Rance
924;Marseille 11e  Arrondissement
925;Saint-Flour
926;Surgères
927;Le Subdray
928;Ussel
929;Merdrignac
930;Langueux
931;Mamirolle
932;Dannemarie-sur-Crète
933;Pierrelatte
934;Châteaudun
935;Sours
936;Carhaix-Plouguer
937;Quimperlé
938;Gourdan-Polignan
939;Saint-Gaudens
940;Colomiers
941;Cugnaux
942;Montagne
943;Villenave-d'Ornon
944;Saint-Ismier
945;Montmorot
946;Yssingeaux
947;Gorges
948;Nogent-sur-Vernisson
949;Marvejols
950;Agneaux
951;Lanester
952;Château-Salins
953;Cosne-Cours-sur-Loire
954;Denain
955;Lambersart
956;Somain
957;Wattrelos
958;Sin-le-Noble
959;Condé-sur-l'Escaut
960;Nogent-sur-Oise
961;Noyon
962;Montataire
963;Méru
964;Damigny
965;Issoire
966;Chéraute
967;Biarritz
968;Bagnères-de-Bigorre
969;Argelès-sur-Mer
970;Thann
971;Vaulx-en-Velin
972;Rillieux-la-Pape
973;Luxeuil-les-Bains
974;Montceau-les-Mines
975;Rouillon
976;Pruillé-le-Chétif
977;Allonnes
978;Saint-Jean-de-Maurienne
979;Passy
980;Poisy
981;Montivilliers
982;Darnétal
983;Le Grand-Quevilly
984;Neufchâtel-en-Bray
985;Lagny-sur-Marne
986;Roissy-en-Brie
987;Saint-Cyr-l'Ecole
988;Jouy-en-Josas
989;La Queue-les-Yvelines
990;Le Tremblay-sur-Mauldre
991;Parthenay
992;Gaillac
993;Verdalle
994;Brens
995;Le Muy
996;Les Sables-d'Olonne
997;Civray
998;Loudun
999;Rouillé
1000;Gérardmer
1001;Gif-sur-Yvette
1002;Dourdan
1003;Bagneux
1004;Limeil-Brévannes
1005;Fresnes
1006;L'Isle-Adam
1007;Ducos
1008;Le Petit-Quevilly
1009;Wasquehal
1010;Cenon
1011;Le Lorrain
1012;Magnanville
1013;Saint-Pierre-des-Corps
1014;Valserhône
1015;Saint-Eloy-les-Mines
1016;Embrun
1017;Echirolles
1018;Mirande
1019;Beaupréau-en-Mauges
1020;Saint-Quay-Portrieux
1021;Saint-Médard-en-Jalles
1022;Le Mesnil-Esnard
1023;Mahina
1024;Capbreton
1025;Gonesse
1026;Beaumont-sur-Oise
1027;Saint-Egrève
