i,pct_f,type
812,62.0,3.0
813,65.0,3.0
814,59.0,3.0
815,5.0,7.0
816,18.0,7.0
817,23.0,7.0
818,15.0,7.0
819,25.0,7.0
820,26.0,7.0
821,26.0,7.0
822,13.0,7.0
823,30.0,4.0
824,7.0,7.0
825,67.0,3.0
826,0.0,7.0
827,9.0,3.0
828,12.0,7.0
829,1.0,6.0
830,3.0,6.0
831,24.0,3.0
832,20.0,3.0
833,17.0,3.0
834,12.0,6.0
835,29.0,3.0
836,5.0,3.0
837,38.0,5.0
838,24.0,5.0
839,43.0,3.0
840,29.0,3.0
841,32.0,3.0
842,77.0,3.0
843,60.0,3.0
844,25.0,3.0
845,42.0,3.0
846,14.0,6.0
847,43.0,3.0
848,41.0,3.0
849,57.0,3.0
850,50.0,3.0
851,23.0,3.0
852,16.0,5.0
853,27.0,3.0
854,15.0,5.0
855,26.0,5.0
856,18.0,3.0
857,29.0,7.0
858,20.0,7.0
859,62.0,3.0
860,36.0,3.0
861,18.0,3.0
862,50.0,3.0
863,0.0,1.0
864,32.0,3.0
865,52.0,3.0
866,24.0,6.0
867,33.0,3.0
868,52.0,3.0
869,5.0,6.0
870,24.0,3.0
871,11.0,6.0
872,20.0,6.0
873,37.0,3.0
874,38.0,3.0
875,57.0,3.0
876,0.0,3.0
877,36.0,3.0
878,18.0,4.0
879,37.0,3.0
880,37.0,3.0
881,54.0,3.0
882,5.0,3.0
883,47.0,3.0
884,31.0,3.0
885,29.0,3.0
886,27.0,3.0
887,59.0,3.0
888,45.0,3.0
889,23.0,5.0
890,19.0,5.0
891,18.0,5.0
892,25.0,7.0
893,24.0,7.0
894,32.0,7.0
895,62.0,3.0
896,40.0,3.0
897,27.0,3.0
898,21.0,7.0
899,33.0,5.0
900,9.0,7.0
901,17.0,5.0
902,44.0,5.0
903,16.0,6.0
904,19.0,3.0
905,48.0,3.0
906,6.0,6.0
907,18.0,3.0
908,32.0,3.0
909,50.0,3.0
910,5.0,6.0
911,18.0,3.0
912,40.0,3.0
913,29.0,3.0
914,29.0,3.0
915,5.0,5.0
916,0.0,3.0
917,16.0,6.0
918,43.0,3.0
919,16.0,3.0
920,20.0,3.0
921,32.0,5.0
922,21.0,5.0
923,50.0,3.0
924,42.0,3.0
925,38.0,7.0
926,10.0,3.0
927,23.0,3.0
928,46.0,3.0
929,17.0,3.0
930,36.0,3.0
931,27.0,3.0
932,15.0,3.0
933,55.0,3.0
934,8.0,6.0
935,25.0,3.0
936,8.0,6.0
937,33.0,3.0
938,16.0,5.0
939,27.0,7.0
940,20.0,7.0
941,25.0,3.0
942,59.0,3.0
943,56.0,3.0
944,47.0,3.0
945,30.0,5.0
946,36.0,7.0
947,18.0,7.0
948,0.0,3.0
949,18.0,3.0
950,32.0,3.0
951,35.0,5.0
952,30.0,6.0
953,60.0,3.0
954,48.0,4.0
955,79.0,3.0
956,58.0,3.0
957,31.0,3.0
958,29.0,3.0
959,0.0,6.0
960,44.0,7.0
961,28.0,7.0
962,23.0,7.0
963,18.0,3.0
964,22.0,3.0
965,8.0,3.0
966,18.0,3.0
967,20.0,3.0
968,17.0,3.0
969,38.0,3.0
970,38.0,3.0
971,17.0,7.0
972,18.0,5.0
973,14.0,3.0
974,14.0,3.0
975,15.0,6.0
976,19.0,5.0
977,0.0,3.0
978,27.0,3.0
979,38.0,3.0
980,65.0,3.0
981,38.0,3.0
982,7.0,6.0
983,47.0,3.0
984,45.0,3.0
985,23.0,5.0
986,9.0,3.0
987,20.0,7.0
988,12.0,7.0
989,33.0,4.0
990,50.0,3.0
991,28.0,3.0
992,46.0,3.0
993,47.0,3.0
994,12.0,3.0
995,0.0,3.0
996,40.0,3.0
997,14.0,3.0
998,30.0,3.0
