i,pct_f,effectifs_candidats_total_accepte,effectifs_candidats_femmes_total_accepte
8420,47.0,74.0,35.0
8421,48.0,21.0,10.0
8422,31.0,35.0,11.0
8423,76.0,25.0,19.0
8424,0.0,16.0,0.0
8425,35.0,17.0,6.0
8426,69.0,172.0,118.0
8427,29.0,7.0,2.0
8428,96.0,26.0,25.0
8429,60.0,30.0,18.0
8430,,0.0,0.0
8431,70.0,63.0,44.0
8432,0.0,28.0,0.0
8433,4.0,27.0,1.0
8434,31.0,13.0,4.0
8435,47.0,32.0,15.0
8436,33.0,249.0,82.0
8437,61.0,41.0,25.0
8438,38.0,125.0,48.0
8439,48.0,31.0,15.0
8440,44.0,9.0,4.0
8441,6.0,17.0,1.0
8442,12.0,26.0,3.0
8443,11.0,159.0,18.0
8444,46.0,11.0,5.0
8445,46.0,138.0,63.0
8446,7.0,14.0,1.0
8447,54.0,98.0,53.0
8448,59.0,29.0,17.0
8449,53.0,34.0,18.0
8450,58.0,31.0,18.0
8451,97.0,32.0,31.0
8452,30.0,30.0,9.0
8453,61.0,33.0,20.0
8454,15.0,131.0,20.0
8455,74.0,23.0,17.0
8456,47.0,32.0,15.0
8457,60.0,15.0,9.0
8458,88.0,34.0,30.0
8459,13.0,24.0,3.0
8460,65.0,79.0,51.0
8461,96.0,28.0,27.0
8462,23.0,53.0,12.0
8463,57.0,14.0,8.0
8464,45.0,69.0,31.0
8465,38.0,29.0,11.0
8466,89.0,27.0,24.0
8467,0.0,6.0,0.0
8468,76.0,41.0,31.0
8469,60.0,37.0,22.0
8470,67.0,24.0,16.0
8471,59.0,34.0,20.0
8472,34.0,32.0,11.0
8473,43.0,47.0,20.0
8474,75.0,47.0,35.0
8475,0.0,21.0,0.0
8476,58.0,19.0,11.0
8477,72.0,29.0,21.0
8478,94.0,34.0,32.0
8479,76.0,29.0,22.0
8480,5.0,22.0,1.0
8481,46.0,125.0,58.0
8482,8.0,24.0,2.0
8483,53.0,57.0,30.0
8484,77.0,121.0,93.0
8485,0.0,22.0,0.0
8486,0.0,11.0,0.0
8487,24.0,42.0,10.0
8488,59.0,17.0,10.0
8489,20.0,30.0,6.0
8490,61.0,18.0,11.0
8491,52.0,21.0,11.0
8492,25.0,16.0,4.0
8493,43.0,130.0,56.0
8494,40.0,10.0,4.0
8495,0.0,3.0,0.0
8496,60.0,30.0,18.0
8497,86.0,21.0,18.0
8498,0.0,9.0,0.0
8499,42.0,24.0,10.0
8500,17.0,41.0,7.0
8501,10.0,29.0,3.0
8502,67.0,21.0,14.0
8503,0.0,8.0,0.0
8504,62.0,63.0,39.0
8505,67.0,12.0,8.0
8506,48.0,29.0,14.0
8507,58.0,36.0,21.0
8508,79.0,14.0,11.0
8509,64.0,22.0,14.0
8510,64.0,47.0,30.0
8511,79.0,24.0,19.0
8512,68.0,34.0,23.0
8513,32.0,106.0,34.0
8514,38.0,21.0,8.0
8515,52.0,66.0,34.0
8516,8.0,84.0,7.0
8517,22.0,45.0,10.0
8518,36.0,44.0,16.0
8519,55.0,49.0,27.0
8520,0.0,23.0,0.0
8521,61.0,38.0,23.0
8522,78.0,18.0,14.0
8523,52.0,27.0,14.0
8524,27.0,15.0,4.0
8525,54.0,26.0,14.0
8526,21.0,24.0,5.0
8527,0.0,1.0,0.0
8528,76.0,247.0,187.0
8529,19.0,83.0,16.0
8530,69.0,42.0,29.0
8531,0.0,8.0,0.0
8532,44.0,18.0,8.0
8533,40.0,25.0,10.0
8534,4.0,28.0,1.0
8535,25.0,12.0,3.0
8536,7.0,14.0,1.0
8537,76.0,33.0,25.0
8538,48.0,23.0,11.0
8539,94.0,18.0,17.0
8540,57.0,35.0,20.0
8541,78.0,23.0,18.0
8542,69.0,35.0,24.0
8543,5.0,20.0,1.0
8544,46.0,33.0,15.0
8545,42.0,33.0,14.0
8546,35.0,26.0,9.0
8547,0.0,15.0,0.0
8548,85.0,26.0,22.0
8549,48.0,110.0,53.0
8550,78.0,45.0,35.0
8551,37.0,54.0,20.0
8552,46.0,13.0,6.0
8553,9.0,70.0,6.0
8554,3.0,34.0,1.0
8555,37.0,27.0,10.0
8556,53.0,34.0,18.0
8557,6.0,32.0,2.0
8558,3.0,59.0,2.0
8559,53.0,182.0,97.0
8560,54.0,57.0,31.0
8561,66.0,84.0,55.0
8562,15.0,96.0,14.0
8563,0.0,11.0,0.0
8564,32.0,25.0,8.0
8565,65.0,17.0,11.0
8566,70.0,23.0,16.0
8567,37.0,71.0,26.0
8568,0.0,15.0,0.0
8569,58.0,36.0,21.0
8570,68.0,81.0,55.0
8571,22.0,9.0,2.0
8572,0.0,9.0,0.0
8573,0.0,14.0,0.0
8574,69.0,538.0,369.0
8575,42.0,26.0,11.0
8576,0.0,12.0,0.0
8577,64.0,22.0,14.0
8578,94.0,31.0,29.0
8579,52.0,31.0,16.0
8580,71.0,178.0,126.0
8581,0.0,22.0,0.0
8582,93.0,30.0,28.0
8583,51.0,57.0,29.0
8584,4.0,24.0,1.0
8585,68.0,133.0,90.0
8586,70.0,142.0,99.0
8587,0.0,20.0,0.0
8588,10.0,10.0,1.0
8589,53.0,30.0,16.0
8590,53.0,15.0,8.0
8591,61.0,23.0,14.0
8592,52.0,25.0,13.0
8593,80.0,15.0,12.0
8594,36.0,22.0,8.0
8595,17.0,24.0,4.0
8596,88.0,17.0,15.0
8597,5.0,19.0,1.0
8598,31.0,16.0,5.0
8599,38.0,32.0,12.0
8600,0.0,12.0,0.0
8601,10.0,20.0,2.0
8602,92.0,13.0,12.0
8603,64.0,115.0,74.0
8604,20.0,92.0,18.0
8605,71.0,41.0,29.0
8606,0.0,15.0,0.0
8607,75.0,16.0,12.0
8608,39.0,23.0,9.0
8609,23.0,26.0,6.0
8610,0.0,23.0,0.0
8611,84.0,51.0,43.0
8612,56.0,25.0,14.0
8613,22.0,9.0,2.0
8614,75.0,16.0,12.0
8615,19.0,21.0,4.0
8616,57.0,23.0,13.0
8617,86.0,28.0,24.0
8618,16.0,55.0,9.0
8619,69.0,13.0,9.0
8620,54.0,35.0,19.0
8621,73.0,33.0,24.0
8622,58.0,24.0,14.0
8623,63.0,112.0,70.0
8624,27.0,11.0,3.0
8625,60.0,35.0,21.0
8626,44.0,34.0,15.0
8627,0.0,25.0,0.0
8628,68.0,140.0,95.0
8629,24.0,45.0,11.0
8630,96.0,28.0,27.0
8631,0.0,28.0,0.0
8632,40.0,35.0,14.0
8633,86.0,7.0,6.0
8634,3.0,30.0,1.0
8635,81.0,47.0,38.0
8636,42.0,38.0,16.0
8637,65.0,34.0,22.0
8638,77.0,39.0,30.0
8639,0.0,32.0,0.0
8640,47.0,66.0,31.0
8641,73.0,26.0,19.0
8642,89.0,28.0,25.0
8643,69.0,42.0,29.0
8644,84.0,67.0,56.0
8645,83.0,30.0,25.0
8646,50.0,38.0,19.0
8647,64.0,28.0,18.0
8648,58.0,24.0,14.0
8649,0.0,19.0,0.0
8650,100.0,16.0,16.0
8651,20.0,54.0,11.0
8652,83.0,24.0,20.0
8653,22.0,23.0,5.0
8654,23.0,31.0,7.0
8655,19.0,47.0,9.0
8656,70.0,73.0,51.0
8657,8.0,37.0,3.0
8658,47.0,34.0,16.0
8659,72.0,36.0,26.0
8660,0.0,25.0,0.0
8661,77.0,34.0,26.0
8662,20.0,95.0,19.0
8663,60.0,37.0,22.0
8664,15.0,34.0,5.0
8665,17.0,12.0,2.0
8666,36.0,42.0,15.0
8667,13.0,23.0,3.0
